X,Y,ele
423216.469436528,4504840.93377095,976.72
423239.464427009,4504829.6225925,976.78
423262.713584888,4504818.22511973,976.6
423286.329835489,4504806.70295306,976.29
423310.086565281,4504795.05844783,976.15
423333.949019616,4504783.35709826,976
423357.959421081,4504771.57054867,975.47
423381.985115128,4504759.88627903,974.95
423405.933833769,4504748.28663477,974.56
423429.861959376,4504736.74311278,973.87
423453.868263768,4504725.21747043,973.43
423477.992074262,4504714.09083667,973.03
423502.069544959,4504703.27182363,972.35
423526.092721213,4504692.67679447,971.49
423550.245943766,4504682.32243491,971.51
423574.713537651,4504672.22547762,971.25
423599.324665956,4504662.30392093,970.81
423623.824358163,4504652.56039998,970.3
423648.239987039,4504642.90156633,969.68
423672.691186384,4504633.25176331,969.33
423697.353959862,4504623.50681359,968.97
423722.086570781,4504613.6588721,968.64
423746.655013824,4504603.68242184,967.94
423771.214052437,4504593.47351445,967.65
423795.954620741,4504583.00228065,967.76
423820.705227512,4504572.12159651,967.79
423845.127156987,4504560.95590054,967.46
423869.347788869,4504549.49456918,967.37
423893.468763543,4504537.97852078,967.53
423917.424627844,4504526.24091118,967.38
423941.286677866,4504514.32753583,967.85
423965.387996049,4504502.25360078,967.68
423989.66070239,4504490.3082703,967.45
424013.94419305,4504478.71651164,967.4
424038.219584189,4504467.71115443,967.1
424062.645073441,4504457.52321702,967.05
424087.490266961,4504448.19646065,967.09
424112.804076172,4504439.66526681,966.98
424138.276174606,4504432.06307793,966.74
424163.869255773,4504425.20416733,966.64
424189.772064772,4504418.84466958,966.67
424215.874747539,4504412.63211953,966.72
424241.971776399,4504405.86139296,966.31
424267.846783756,4504398.15317541,966.5
424293.490041988,4504389.24704028,966.8
424318.589556109,4504379.10891906,966.63
424342.99648806,4504367.73101973,966.45
424366.798585797,4504355.38230217,966.51
424390.105525754,4504342.39664896,966.46
424412.848842324,4504329.00736637,966.39
424435.250082584,4504315.40760692,966.65
424457.39105413,4504301.97806734,967.12
424479.167489596,4504288.91520655,967.25
424500.463780895,4504275.99688599,967.43
424521.457486129,4504263.26780171,967.9
424542.480343774,4504250.61291937,968.15
424563.575235775,4504238.06903865,968.46
424584.646597802,4504225.99071953,968.6
424606.00879924,4504214.64464101,968.79
424628.045920787,4504204.18507298,968.91
424651.049953191,4504194.76726878,968.9
424674.979637861,4504186.51263078,968.96
424699.799525886,4504179.42150492,969.05
424725.087484318,4504173.77735282,968.9
424750.687291414,4504169.54452684,968.85
424776.680815412,4504166.41515018,968.88
424803.183844025,4504163.93206376,968.94
424829.910037856,4504161.80042416,968.66
424856.701397071,4504159.80780313,968.26
424883.508162833,4504157.93608713,967.89
424910.052214148,4504156.00199104,967.66
424936.290764668,4504153.97802382,967.51
424962.330538561,4504151.909631,967.08
424988.087765481,4504149.9186316,966.59
425013.58386767,4504148.02340166,966.29
425038.910747197,4504146.20442659,965.83
425064.059819373,4504144.31287343,965.27
425089.039787177,4504141.80896703,964.26
425113.938440037,4504138.26377345,963.3
425138.774499822,4504133.4258504,962.41
425163.377891777,4504127.28760828,961.36
425187.769778798,4504119.83953981,960.28
425211.808708513,4504111.10166304,958.06
425235.309879659,4504101.01071297,957.01
425258.479555801,4504089.64833767,955.9
425281.635719549,4504076.93690954,954.96
425305.035261003,4504063.05994222,954.11
425328.627971305,4504048.66000783,952.91
425352.43147986,4504034.08123807,951.48
425377.07562718,4504019.26146502,950.76
425403.091833375,4504004.21396572,950.24
425430.456996273,4503988.75290085,949.56
425458.825895415,4503972.36062776,949.05
425487.919247732,4503954.73291091,949.65
425517.131822438,4503936.26662955,946.54
425546.086664473,4503917.51459657,944.68
425575.052742301,4503899.16268243,943.39
425604.159418988,4503882.10291876,941.72
425633.606580261,4503867.19868988,940.5
425663.553670924,4503854.81131604,939.68
