X,Y,ele
429609.475106533,4504283.17816651,870.72
429593.45492511,4504278.94729247,871.37
429577.423835773,4504275.06085858,871.89
429561.204400109,4504271.48330245,872.01
429544.476842236,4504268.10602239,872.45
429527.326603086,4504264.97472638,873.36
429509.832122967,4504262.14449124,874.23
429492.134433547,4504259.54886994,874.4
429474.465682381,4504257.01814835,874.91
429457.242689783,4504254.43669647,874.88
429440.33149945,4504251.87094998,875.05
429423.26909102,4504249.04612612,875.7
429406.329723914,4504245.75490659,876.38
429389.312443319,4504241.7200534,876.69
429372.042730568,4504237.21308269,877.45
429354.929620639,4504232.04398786,877.79
429338.101738277,4504226.33250606,878.24
429321.856123578,4504220.02930389,878.79
429306.136470546,4504213.17212585,878.62
429290.602255335,4504205.70837024,879.19
429275.076862561,4504197.68625549,879.81
429259.768345133,4504189.38295867,879.74
429244.408966394,4504180.9498898,880.32
429228.870093846,4504172.26732385,880.29
429213.181912817,4504163.53039443,880.8
429197.302716148,4504154.82321674,881.13
429181.38993896,4504146.31181277,881.02
429165.722819594,4504138.30989073,881.05
429150.125095292,4504130.90285848,881.4
429134.233409781,4504123.87087568,881.43
429117.918313968,4504117.01046752,881.81
429101.647290889,4504110.31716266,881.89
429085.470532706,4504103.85561424,881.75
429069.316145001,4504097.51486025,881.83
429053.134915047,4504091.33259412,881.82
429036.768256419,4504085.02185806,882.06
429020.010589366,4504078.56600086,881.85
429003.209854087,4504072.05477408,882.16
428986.366948046,4504065.5812003,881.69
428969.411041207,4504059.14596837,881.18
428952.207287096,4504052.72244874,881
428934.891875702,4504046.4768399,880.43
428917.627793533,4504040.41688571,879.99
428900.330040203,4504034.54338852,880.22
428882.774830727,4504029.15627925,880.53
428864.955166983,4504024.26490769,880.47
428846.557693295,4504019.69549711,880.94
428827.283613071,4504015.31133568,881.53
428807.06421886,4504011.33639636,881.97
428786.396390292,4504007.8776149,882.23
428765.201423724,4504004.85197782,883.06
428743.548724585,4504002.10994096,883.5
428721.621739095,4503999.57532294,884.24
428699.653750449,4503997.19934887,884.08
428677.757300574,4503994.8971994,884.72
428656.200631903,4503992.57323277,883.7
428634.865310884,4503990.43330771,882.37
428613.692264867,4503988.22675105,883.35
428592.554441447,4503986.00129851,882.5
428571.657691324,4503983.80150761,881.75
428551.080472976,4503981.68245122,881.65
428530.914943713,4503979.65253184,881.7
428511.097999005,4503977.77750857,881.47
428491.783225696,4503975.82325573,881.19
428472.928028719,4503973.78088765,881.9
428454.41943802,4503971.68869041,881.76
428435.805045921,4503969.64409628,882.51
428417.118816277,4503967.49787355,883.34
428398.721635729,4503965.2093421,883.56
428380.286343811,4503962.64206379,885.37
428361.414660797,4503959.63238043,887.51
428342.508163564,4503955.95311278,889.02
428324.125510165,4503951.50581609,889.01
428306.395543022,4503946.42880028,889.52
428289.298623686,4503940.88977276,889.51
428272.692458105,4503934.82493723,889.53
428256.705361982,4503928.31682319,888.83
428241.381163031,4503921.50457197,888.74
428226.805224076,4503914.42456693,888.8
428212.750887463,4503907.07900565,888.47
428198.713907695,4503899.33318019,888.43
428184.254048002,4503891.07967678,889.01
428169.372645513,4503882.4580759,888.98
428154.595836159,4503873.667992,888.98
428140.07453455,4503864.9313055,888.94
428125.938739174,4503856.50728829,888.59
428112.131440486,4503848.35926651,888.22
428098.672543295,4503840.34748794,887.48
428085.305423722,4503832.3069241,887.77
428071.439292662,4503823.94552997,888.48
428056.575901039,4503815.01689515,888.35
428040.758190631,4503805.5671472,888.54
428023.944369071,4503795.67112198,888.57
428006.500808416,4503785.85568526,888.9
427988.636278943,4503776.46309901,887.86
427970.293652533,4503767.44740474,887.62
427951.25469411,4503758.95030301,887.47
427931.743066229,4503751.3883467,886.53
427911.829238553,4503744.72365431,885.86
427891.286454479,4503738.94911647,885.68
427870.276745051,4503733.97011161,886.1
427849.04992304,4503729.97962684,885.43
427827.619888637,4503726.94961976,885.2
427806.015708418,4503724.95424581,885.12
427784.520997032,4503724.01865845,884.24
427763.178525395,4503724.1703725,884.01
427741.944372903,4503725.26091987,883.48
427720.690936309,4503727.28223849,883.02
427699.686316204,4503730.12005927,883.27
427679.639933421,4503733.87913211,882.61
427660.62097953,4503738.39127493,882.72
427642.226552664,4503743.7441665,882.79
427624.036191935,4503749.68134556,883.17
427605.910683193,4503756.45540745,883.38
427587.727714308,4503763.87213438,883.67
427569.365524553,4503771.79313418,884.25
427550.900572493,4503780.06879029,884.89
427532.245495918,4503788.45800812,885.63
427513.504474109,4503796.74575609,886.04
427494.237693241,4503804.87118435,886.62
427474.075017793,4503812.65181556,887.97
427453.352721875,4503819.70285528,887.27
427432.624001168,4503826.09335015,887.08
427411.760091615,4503831.69427035,886.76
427390.701770507,4503836.24566382,886.72
427369.272402595,4503839.79577499,886.15
427347.975352674,4503842.38622072,886.01
427326.776180535,4503844.11968223,885.99
427305.503794765,4503844.88618441,885.82
427284.05875482,4503844.65876972,886.13
427262.582799906,4503843.44536553,886.1
427241.09218947,4503841.45982912,886.46
427219.713689406,4503838.62647095,886.85
427198.812351196,4503835.33255426,886.72
427178.489628107,4503831.8096919,886.6
427158.648176808,4503828.24494093,886.82
427139.344932753,4503824.66565947,886.49
427120.4890973,4503821.20300042,886.28
427101.924577767,4503817.83058309,886.16
427083.502694068,4503814.55917924,886.51
427065.060196346,4503811.35315622,887.3
427046.087074566,4503808.21752384,887.03
427026.470097324,4503805.16270184,888.03
427006.152503271,4503802.17996112,888.3
426985.029231568,4503799.3913033,888.6
426963.277731282,4503796.83220283,889.38
426941.308655853,4503794.48003055,889.77
426918.972234892,4503792.23388317,889.81
