x,y,z
421391.77,4473885.67,720.81
421410.45,4473884.87,720.89
421429.83,4473885.16,720.83
421448.39,4473886.63,721.05
421469.04,4473888.88,721.23
421488.78,4473892.62,721.64
421507.72,4473901.09,721.6
421525.09,4473910.1,721.52
421542.28,4473918.68,721.61
421559.16,4473929.19,722.27
421576.27,4473940.81,722.96
421592.87,4473952.63,723.38
421608.52,4473966,723.61
421624.44,4473979.23,723.69
421640.63,4473991.86,723.57
421656.57,4474004.49,723.32
421672.59,4474017.14,723.01
421688.68,4474029.68,722.82
421705.51,4474041.99,722.81
421722.24,4474054.4,722.79
421738.62,4474066.84,722.69
421754.85,4474080.33,722.66
421770.56,4474094.3,722.74
421786.49,4474107.87,723.05
421801.82,4474121.49,723.35
421816.92,4474135,723.62
421831.67,4474148.83,723.86
421846.27,4474162.7,723.92
421860.79,4474176.59,724.11
421875.3,4474190.05,724.48
421889.91,4474202.91,724.89
421904.66,4474215.33,725.2
421919.68,4474226.99,725.51
421935.7,4474238.52,725.77
421952.26,4474248.83,725.88
421970.41,4474259.33,725.33
421989.21,4474268.59,724.77
422007.87,4474276.86,724.46
422026.12,4474284.81,724.51
422043.92,4474292.27,724.86
422061.82,4474300.44,725.09
422079.3,4474308.65,725.43
422097.36,4474318.15,725.58
422114.87,4474328.07,726.28
422131.32,4474338.71,727.34
422145.97,4474351.56,728.38
422159.64,4474366.23,729.71
422172.31,4474380.63,731.27
422184.67,4474395.54,732.9
422197.09,4474410.5,734.51
422209.77,4474425.69,736.11
422222.16,4474441.2,737.66
422233.86,4474455.7,739.05
422245.61,4474470.31,740.15
422258.26,4474484.07,741.06
422271.82,4474497.17,741.74
422286.23,4474509.02,742
422301.09,4474519.68,742.02
422318.81,4474526.12,741.69
422335.81,4474531.99,741.35
422353.8,4474537.52,741.31
422370.26,4474541.91,740.99
422389.04,4474545.98,740.19
422408.3,4474548.82,739.71
422425.28,4474550.17,739.93
422442.98,4474547.71,740.23
422460.34,4474545.29,740.58
422477.87,4474542.22,740.97
422496.12,4474538.9,741
422515.41,4474535.56,740.99
422534.72,4474532.04,740.98
422553.63,4474528.5,741.07
422571.67,4474524.62,741.26
422588.95,4474520.81,741.69
