X,Y,Z
478926.464,4435053.144,588.188
478925.558,4435052.917,588.179
478924.644,4435052.691,588.172
478923.733,4435052.455,588.178
478922.822,4435052.215,588.171
478921.907,4435051.987,588.169
478920.984,4435051.755,588.167
478920.067,4435051.524,588.158
478919.148,4435051.3,588.157
478918.234,4435051.08,588.149
478917.315,4435050.859,588.145
478916.395,4435050.631,588.143
478915.475,4435050.41,588.143
478914.553,4435050.188,588.122
478913.637,4435049.954,588.118
478912.725,4435049.731,588.118
478911.822,4435049.508,588.113
478910.911,4435049.284,588.112
478909.988,4435049.056,588.113
478909.075,4435048.832,588.104
478908.163,4435048.61,588.092
478907.252,4435048.408,588.086
478906.347,4435048.197,588.076
478905.441,4435047.983,588.077
478904.539,4435047.764,588.075
478903.633,4435047.551,588.07
478902.727,4435047.332,588.07
478901.825,4435047.115,588.069
478900.925,4435046.905,588.057
478900.021,4435046.693,588.053
478899.115,4435046.485,588.06
478898.217,4435046.278,588.043
478897.321,4435046.063,588.037
478896.428,4435045.843,588.048
478895.545,4435045.637,588.039
478894.656,4435045.416,588.035
478893.758,4435045.196,588.039
478892.88,4435044.973,588.089
478891.979,4435044.765,588.042
478891.087,4435044.546,588.029
478890.2,4435044.32,588.023
478889.312,4435044.093,588.016
478888.426,4435043.867,588.006
478887.542,4435043.644,588.005
478886.657,4435043.421,588.004
478885.767,4435043.202,588.005
478884.873,4435042.986,587.996
478883.977,4435042.755,588.006
478883.092,4435042.538,587.998
478882.206,4435042.321,587.991
478881.309,4435042.091,587.993
478880.419,4435041.865,587.991
478879.53,4435041.656,587.984
478878.637,4435041.442,587.979
478877.742,4435041.226,587.984
478876.844,4435041.003,587.977
478875.957,4435040.783,587.964
478875.063,4435040.559,587.975
478874.169,4435040.327,587.963
478873.272,4435040.099,587.958
478872.375,4435039.878,587.957
478871.476,4435039.662,587.953
478870.568,4435039.451,587.949
478869.663,4435039.234,587.935
478868.766,4435039.007,587.923
478867.873,4435038.787,587.912
478866.979,4435038.569,587.904
478866.075,4435038.344,587.907
478865.173,4435038.116,587.9
478864.269,4435037.893,587.906
478863.374,4435037.668,587.899
478862.464,4435037.438,587.908
478861.55,4435037.201,587.912
478860.631,4435036.974,587.904
478859.708,4435036.748,587.886
478858.791,4435036.524,587.873
478857.879,4435036.307,587.865
478856.973,4435036.098,587.857
478856.061,4435035.866,587.862
478855.134,4435035.637,587.871
478854.208,4435035.409,587.865
478853.281,4435035.174,587.871
478852.359,4435034.943,587.871
478851.434,4435034.721,587.864
