x,y,z
444433.49,4523311.73,1075.65
444429.83,4523322.92,1076
444426.02,4523334.03,1076.13
444421.97,4523345.58,1076.13
444417.95,4523356.97,1076.11
444413.93,4523368.36,1076.16
444409.92,4523379.67,1076.23
444405.88,4523390.92,1076.26
444401.79,4523402.43,1076.28
444397.71,4523413.88,1076.27
444393.71,4523425.18,1076.22
444389.71,4523436.53,1076.21
444385.87,4523447.42,1076.23
444382.11,4523458.16,1076.26
444378.39,4523468.78,1076.3
444374.78,4523479.25,1076.4
444371.26,4523489.43,1076.47
444367.74,4523499.61,1076.53
444364.16,4523509.9,1076.56
444360.48,4523520.32,1076.62
444356.13,4523530.95,1076.68
444351.21,4523541.1,1076.69
444345.32,4523551.02,1076.94
444338.61,4523560.34,1076.91
444331.24,4523569.03,1076.95
444323.85,4523577.81,1077.13
444315.74,4523586.14,1077.51
444307.25,4523593.52,1077.83
444298.52,4523600.46,1078.02
444288.96,4523606.8,1078.15
444278.72,4523612.2,1078.41
444268.02,4523617.17,1078.76
444257.74,4523621.52,1079.26
444247.93,4523625.91,1079.98
444233.46,4523637.15,1081.76
444222.62,4523652.34,1083.17
444214.66,4523669.41,1083.87
444207.59,4523687.91,1084.24
444204.33,4523698.09,1084.36
444202.41,4523708.28,1084.77
444202.69,4523719.33,1085.34
444204.42,4523729.81,1085.96
444207.25,4523739.84,1086.75
444210.72,4523749.73,1087.92
444214.9,4523759.66,1088.76
444218.97,4523769.86,1089.58
444220.75,4523781.09,1090.55
444221.7,4523792.68,1091.43
444221.88,4523804.59,1092.31
444222.09,4523816.34,1093.27
444221.88,4523828.07,1094.1
444221.48,4523839.63,1095.06
444220.15,4523850.99,1096.29
444218.41,4523861.99,1097.02
444215.33,4523873.21,1097.47
444211.43,4523883.85,1097.8
444206.79,4523893.53,1098.21
444202.34,4523902.95,1098.77
444198.1,4523912.4,1099.19
444193.95,4523922.59,1099.55
444189.7,4523932.87,1099.77
444185.62,4523943.02,1100.37
444181.64,4523953.07,1101.17
444178.02,4523962.97,1102.04
444174.71,4523973.39,1102.92
444172.45,4523983.81,1103.76
444171.06,4523995.22,1104.47
444171.54,4524006.91,1105.34
444174.03,4524018.83,1106.05
444177.5,4524030.2,1106.76
444181.72,4524040.91,1107.34
444185.81,4524052.4,1107.96
444190.4,4524064.11,1108.93
444195,4524075.81,1110.17
444200.24,4524087,1111.59
444205.41,4524098.09,1113.07
444210.41,4524109.02,1114.53
444215.02,4524119.99,1115.79
444219.52,4524130.81,1117.04
444223.44,4524141.44,1118.06
444227.09,4524152.12,1118.89
444230.48,4524162.83,1119.51
444233.17,4524173.75,1120.07
444234.93,4524184.64,1120.58
444236.07,4524195.49,1121.4
444236.98,4524206.28,1122.24
444237.78,4524217.36,1122.97
444238.69,4524228.87,1123.62
444239.61,4524240.35,1124.2
444240.51,4524251.9,1124.82
444241.09,4524263.46,1125.47
444241.75,4524274.26,1126.11
444242.43,4524284.56,1126.69
444243.94,4524294.58,1127.42
444251.61,4524311.63,1128.56
444265.78,4524322.27,1129.59
444281.75,4524333.55,1130.65
444290.25,4524339.8,1131.14
444298.9,4524346.1,1131.69
444307.74,4524352.36,1132.47
444316.73,4524358.58,1133.37
444326,4524364.52,1134.47
444334.6,4524369.94,1135.38
444347.43,4524380.25,1137
