s,pdte
46275.4248960275,0.016
46285.2737538293,0.016
46295.122611631,0.016
46304.9714694328,0.016
46315.7417990471,0.016
46325.5906568489,0.016
46335.4395146507,0.016
46345.2883724525,0.016
46355.1372302543,0.016
46364.9860880561,0.016
46374.8349458579,0.016
46384.6838036597,0.016
46394.5326614615,0.016
46404.8282916024,0.015
46414.6771494042,0.015
46424.526007206,0.015
46434.821637347,0.015
46444.6704951488,0.015
46454.5193529506,0.015
46464.8149830916,0.015
46474.6638408934,0.015
46484.9594710344,0.014
46494.8083288362,0.014
46504.657186638,0.013
46514.9528167789,0.012
46524.8016745807,0.011
46534.6505323825,0.011
46544.9461625235,0.01
46554.7950203253,0.01
46565.0906504663,0.009
46574.9395082681,0.009
46584.7883660699,0.008
46595.0839962109,0.007
46604.9328540127,0.007
46615.2284841536,0.006
46625.0773419554,0.006
46634.9261997572,0.006
46645.2218298982,0.005
46655.0706877,0.005
46665.366317841,0.004
46675.2151756428,0.004
46685.0640334446,0.004
46694.4980145766,0.004
46704.3468723784,0.004
46714.6425025194,0.004
46724.4913603212,0.004
46734.7869904622,0.004
46745.0826206032,0.004
46754.5166017352,0.004
46764.8122318762,0.004
46774.2462130083,0.004
46784.5418431493,0.004
46794.5418431493,0.005
46804.8374732903,0.005
46814.8374732903,0.006
46824.8374732903,0.007
46834.8374732903,0.009
46844.8374732903,0.01
46854.8374732903,0.011
46864.8374732903,0.011
46874.0570177476,0.012
46884.6871635603,0.012
46894.6871635603,0.013
46904.5866584969,0.014
46914.4861534335,0.016
46924.3856483701,0.017
46935.0157941828,0.018
46944.9152891195,0.019
46954.8147840561,0.021
46964.7142789927,0.022
46974.6137739293,0.023
46983.8333183866,0.024
46994.4634641993,0.024
47004.3629591359,0.025
47014.3629591359,0.025
47024.2624540725,0.025
47034.2624540725,0.025
47044.1619490091,0.024
47054.7920948219,0.024
47064.0116392792,0.023
47073.9111342158,0.022
47084.5412800285,0.02
47094.4407749651,0.019
47104.3402699017,0.017
47114.3402699017,0.015
47124.2397648383,0.014
47134.139259775,0.012
47144.0387547116,0.01
47153.9382496482,0.008
47164.5683954609,0.006
47174.4678903975,0.004
47184.3673853341,0.003
47194.2668802707,0.001
47204.1663752073,-0.001
47214.065870144,-0.003
47223.9653650806,-0.005
47233.8648600172,-0.007
47243.7643549538,-0.009
47254.3945007665,-0.011
47264.2939957031,-0.013
47274.1934906397,-0.014
47284.0929855764,-0.016
47293.992480513,-0.017
47303.992480513,-0.018
47313.8919754496,-0.018
47323.7914703862,-0.019
47334.4216161989,-0.019
47344.3211111355,-0.02
47353.5406555928,-0.02
47364.1708014056,-0.021
47374.0702963422,-0.021
47384.0702963422,-0.021
47393.9697912788,-0.02
47403.9697912788,-0.02
47413.9697912788,-0.02
47423.9697912788,-0.02
47433.9697912788,-0.021
47444.5999370915,-0.021
47454.0339182236,-0.021
47464.0339182236,-0.021
47474.0339182236,-0.021
47483.4678993556,-0.021
47494.284553182,-0.021
47503.7185343141,-0.021
47514.014164455,-0.021
47523.4481455871,-0.02
47533.7437757281,-0.02
47544.0394058691,-0.019
47553.4733870011,-0.019
47563.3222448029,-0.019
47573.6178749439,-0.019
47583.4667327457,-0.019
47593.7623628867,-0.019
47603.6112206885,-0.02
47613.9068508295,-0.02
47623.7557086313,-0.021
47634.0513387722,-0.021
47643.900196574,-0.022
47653.7490543758,-0.023
47664.0446845168,-0.024
47672.9889564268,-0.026
47683.2845865678,-0.027
47693.1334443696,-0.029
47703.4290745106,-0.03
47713.2779323124,-0.032
47723.1267901142,-0.033
47733.4224202552,-0.034
47743.2712780569,-0.035
47753.1201358587,-0.036
47763.4157659997,-0.037
47773.2646238015,-0.038
47783.1134816033,-0.039
47793.4091117443,-0.039
47803.2579695461,-0.04
47813.1068273479,-0.04
47823.4024574889,-0.04
47833.2513152907,-0.041
47844.0216449049,-0.041
47853.5084778854,-0.041
47863.3573356872,-0.04
47873.206193489,-0.04
47883.6464999979,-0.039
47893.4953577997,-0.038
47902.9821907802,-0.037
47913.7525203945,-0.035
47923.239353375,-0.034
47933.6796598839,-0.032
47943.1664928644,-0.03
47953.3645318916,-0.027
47962.8513648721,-0.025
47973.291671381,-0.022
47983.4897104082,-0.019
47992.9765433887,-0.017
48003.1745824159,-0.014
48013.6148889248,-0.012
48022.8344333821,-0.01
48033.274739891,-0.008
48043.7150463999,-0.007
48052.9345908572,-0.005
48063.3748973661,-0.004
48073.5729363933,-0.002
48083.0597693738,-0.001
48093.257808401,0.001
48103.6981149099,0.002
48112.9176593672,0.004
48123.3579658761,0.005
48133.5560049033,0.006
48143.0428378838,0.006
48153.240876911,0.007
48163.6811834199,0.007
48172.9007278772,0.007
48183.3410343861,0.006
48192.8278673666,0.006
48202.6767251684,0.005
48212.5255829702,0.005
48222.8212131112,0.004
48233.1168432522,0.004
48242.5508243843,0.004
48253.180970197,0.005
48262.614951329,0.005
48272.5144462656,0.006
48282.5144462657,0.007
48292.7124852928,0.008
48302.7124852928,0.009
48312.1993182733,0.009
48322.4949484143,0.01
48332.5448240355,0.01
48342.5946996566,0.01
48352.5946996566,0.01
48362.5946996566,0.011
48372.6445752777,0.011
48381.864119735,0.011
48392.0621587622,0.011
48402.1120343833,0.011
48412.5523408922,0.01
48421.7718853495,0.01
48431.9699243767,0.01
48442.4102308856,0.01
48452.6082699128,0.01
48461.8278143701,0.01
48472.268120879,0.01
48482.4661599062,0.011
48491.9529928867,0.011
48502.1510319139,0.012
48512.3490709411,0.012
48521.8359039216,0.013
48532.0339429488,0.014
48542.2319819759,0.015
48552.6722884848,0.016
48561.8918329421,0.017
48572.3321394511,0.019
48582.5301784782,0.02
48592.0170114587,0.021
48602.2150504859,0.021
48612.6553569948,0.022
48621.8749014521,0.022
48632.3152079611,0.022
48642.5132469882,0.022
48652.0000799687,0.022
48662.1981189959,0.023
48671.6849519764,0.023
48681.8829910036,0.023
48692.3232975125,0.022
48701.5428419698,0.022
48711.9831484787,0.021
48722.4234549876,0.02
48731.9102879681,0.018
48742.3505944771,0.017
48751.5701389344,0.016
48762.0104454433,0.015
48771.4972784238,0.014
48781.9375849327,0.014
48791.3715660647,0.013
48802.0017118775,0.013
48812.0017118775,0.013
48821.8505696793,0.014
48831.3374026598,0.014
48841.7777091687,0.015
48851.2116903007,0.016
48861.2116903007,0.018
48871.6519968096,0.019
48881.7018724308,0.021
48891.5507302326,0.023
48901.5507302326,0.024
48911.8463603736,0.026
48921.3331933541,0.027
48931.3830689752,0.028
48941.4329445963,0.029
48951.4828202174,0.029
48961.6808592446,0.03
48970.9004037019,0.03
48981.0984427291,0.03
