s,pdte
38714.4822015387,-0.054
38724.9225080476,-0.055
38734.7713658494,-0.056
38745.2116723583,-0.056
38754.6985053388,-0.057
38765.1388118477,-0.057
38774.6256448282,-0.057
38785.0659513371,-0.056
38794.5527843176,-0.056
38804.7508233448,-0.055
38814.2376563253,-0.054
38824.6779628342,-0.052
38834.1647958147,-0.051
38844.6051023236,-0.049
38855.0454088326,-0.047
38864.5322418131,-0.044
38874.972548322,-0.042
38884.4593813025,-0.04
38894.6574203297,-0.038
38905.0977268386,-0.037
38914.3172712959,-0.035
38924.5153103231,-0.033
38934.7133493502,-0.031
38944.9113883774,-0.029
38954.9612639985,-0.027
38964.1808084558,-0.024
38974.230684077,-0.022
38984.2805596981,-0.02
38994.3304353192,-0.018
39004.3803109403,-0.016
39014.3803109403,-0.014
39024.4301865615,-0.013
39034.4301865615,-0.011
39044.4301865615,-0.009
39054.4301865615,-0.007
39064.4301865615,-0.005
39074.4800621826,-0.003
39084.4800621826,-0.001
39094.5299378037,0.001
39104.5798134248,0.003
39114.5798134248,0.006
39124.629689046,0.008
39134.6795646671,0.01
39144.7294402882,0.012
39153.9489847455,0.014
39163.9988603666,0.017
39174.1968993938,0.019
39184.394938421,0.021
39194.5929774482,0.023
39204.0798104287,0.025
39214.5201169376,0.027
39224.0069499181,0.029
39234.447256427,0.031
39243.9340894075,0.034
39254.7044190218,0.036
39264.1912520023,0.038
39274.0401098041,0.039
39283.5269427846,0.041
39294.2972723989,0.042
39304.1461302007,0.043
39313.9949880024,0.044
39324.2906181434,0.044
39334.1394759452,0.045
39344.4351060862,0.045
39353.8690872183,0.045
39364.1647173592,0.045
39374.013575161,0.044
39384.309205302,0.044
39393.7431864341,0.043
39403.5920442359,0.042
39413.8876743769,0.041
39423.7365321787,0.041
39434.0321623196,0.04
39444.3277924606,0.039
39454.1766502624,0.037
39464.0255080642,0.036
39474.3211382052,0.035
39484.169996007,0.034
39493.6568289875,0.033
39503.5056867893,0.032
39513.9459932982,0.031
39523.7948511,0.03
39533.9928901272,0.029
39543.4797231077,0.028
39553.9200296166,0.027
39564.1180686438,0.026
39573.3376131011,0.025
39583.5356521283,0.024
39593.7336911554,0.023
39603.7835667766,0.023
39613.8334423977,0.022
39623.8833180188,0.022
39633.9331936399,0.022
39643.9830692611,0.022
39653.9830692611,0.023
39663.9830692611,0.023
39673.9830692611,0.023
39683.9830692611,0.023
39694.0329448822,0.022
39704.0329448822,0.022
39713.0883300203,0.021
39723.1382056415,0.021
39733.3362446686,0.02
39743.5342836958,0.02
39753.732322723,0.02
39763.9303617502,0.02
39773.1499062075,0.02
39783.3479452347,0.02
39793.7882517436,0.019
39803.0077962009,0.019
39813.4481027098,0.019
39823.8884092187,0.019
39833.107953676,0.019
39843.5482601849,0.02
39853.0350931654,0.02
39863.4753996743,0.02
39872.9622326548,0.02
39883.160271682,0.02
39893.6005781909,0.019
39902.8201226482,0.019
39913.2604291571,0.018
39923.4584681843,0.018
39933.6565072115,0.018
39942.8760516688,0.018
39953.074090696,0.018
39963.2721297232,0.019
39973.4701687504,0.019
39983.5200443715,0.02
39992.7395888288,0.021
40002.7894644499,0.021
40012.9875034771,0.022
40023.0373790982,0.022
40033.0872547193,0.022
40043.2852937465,0.022
40053.3351693677,0.022
40063.3850449888,0.023
40073.583084016,0.023
40082.8026284733,0.023
40093.0006675004,0.023
40103.1987065276,0.023
40113.3967455548,0.022
40122.6162900121,0.022
40133.056596521,0.021
40143.4969030299,0.021
40152.9837360104,0.021
40162.4705689909,0.02
40173.2408986052,0.02
40182.7277315857,0.02
40192.5765893875,0.02
40202.4254471893,0.02
40212.2743049911,0.019
40222.5699351321,0.019
40232.4187929339,0.018
40242.7144230749,0.017
40253.0100532159,0.016
40263.3056833568,0.015
40272.2499552668,0.014
40282.5455854078,0.013
40292.8412155488,0.012
40302.2751966809,0.011
40312.5708268219,0.01
40322.8664569628,0.009
40332.7153147646,0.008
40343.0109449056,0.007
40352.8598027074,0.006
40362.2937838395,0.004
40372.1426416413,0.003
40381.991499443,0.001
40392.7618290573,0
40402.6106868591,-0.002
40412.4595446609,-0.003
40422.3084024627,-0.004
40432.1572602645,-0.005
40442.5975667734,-0.006
40452.4464245752,-0.008
40462.295282377,-0.009
40472.7355888859,-0.011
40482.5844466877,-0.012
40492.0712796682,-0.013
40502.8416092825,-0.014
40512.6904670843,-0.015
40522.1773000648,-0.016
40532.947629679,-0.016
40542.4344626595,-0.017
40552.2833204613,-0.017
40562.7236269703,-0.017
40572.572484772,-0.016
40582.0593177525,-0.016
40592.8296473668,-0.015
40602.3164803473,-0.014
40612.1653381491,-0.013
40622.605644658,-0.012
40632.0924776385,-0.011
40642.5327841474,-0.01
40652.019617128,-0.009
40662.4599236369,-0.008
40671.9467566174,-0.007
40682.3870631263,-0.006
40692.5851021535,-0.005
40702.071935134,-0.004
40712.2699741612,-0.003
40722.4680131883,-0.001
40732.6660522155,0
40741.8855966728,0.001
40751.9354722939,0.002
40762.1335113211,0.003
40772.1833869423,0.004
40782.2332625634,0.005
40792.4313015906,0.005
40802.4811772117,0.006
40812.5310528328,0.006
40822.5809284539,0.006
40831.6363135921,0.005
40841.6861892132,0.005
40851.7360648343,0.004
40861.7859404554,0.003
40871.8358160766,0.003
40881.8856916977,0.002
40892.0837307249,0.002
40902.133606346,0.002
40912.1834819671,0.002
40922.2333575882,0.003
40932.2832332094,0.003
40942.3331088305,0.004
40952.3829844516,0.004
40961.4383695898,0.005
40971.4882452109,0.006
40981.538120832,0.008
40991.5879964531,0.009
41001.6378720743,0.011
41011.6877476954,0.013
41021.7376233165,0.015
41031.9356623437,0.016
41041.9855379648,0.018
41052.0354135859,0.019
41062.0852892071,0.021
41072.1351648282,0.023
41081.1905499663,0.025
41091.2404255874,0.026
41101.2903012086,0.028
41111.3401768297,0.029
41121.3900524508,0.03
41131.4399280719,0.03
41141.4898036931,0.031
41151.5396793142,0.031
41161.7377183414,0.031
41171.7875939625,0.031
41181.9856329897,0.03
41191.0410181278,0.03
41201.239057155,0.029
41211.4370961822,0.028
41221.8774026911,0.027
41231.0969471484,0.025
41241.5372536573,0.024
41251.7352926845,0.022
41261.5841504863,0.02
41271.0709834668,0.018
41281.5112899757,0.016
41291.3601477775,0.014
41301.2090055793,0.012
41311.9793351936,0.01
41321.8281929954,0.008
41331.6770507972,0.006
41341.9726809381,0.003
41350.9169528481,0.001
41361.2125829891,-0.001
41371.5082131301,-0.003
41380.9421942622,-0.005
41391.2378244032,-0.006
41400.6718055352,-0.008
41410.9674356762,-0.009
41421.7840895026,-0.01
41431.2180706346,-0.011
41441.5137007756,-0.013
41450.9476819077,-0.014
41461.2433120487,-0.016
41470.6772931807,-0.018
41480.9729233217,-0.02
41490.9729233217,-0.021
41501.2685534627,-0.023
41511.5641836037,-0.024
41520.9981647357,-0.026
41531.2937948767,-0.027
41540.7277760088,-0.028
41551.0234061498,-0.029
