y,x,z
4504287.759,432167.411,939.306
4504288.309,432165.344,939.318
4504288.856,432163.269,939.333
4504289.399,432161.187,939.337
4504289.935,432159.108,939.339
4504290.469,432157.035,939.323
4504290.999,432154.955,939.325
4504291.526,432152.87,939.335
4504292.041,432150.793,939.328
4504292.555,432148.716,939.329
4504293.059,432146.626,939.341
4504293.553,432144.537,939.344
4504294.051,432142.451,939.345
4504294.542,432140.365,939.337
4504295.026,432138.275,939.327
4504295.505,432136.184,939.325
4504295.977,432134.093,939.322
4504296.444,432132.002,939.324
4504296.909,432129.906,939.317
4504297.361,432127.815,939.321
4504297.812,432125.712,939.318
4504298.256,432123.613,939.307
4504298.699,432121.516,939.298
4504299.129,432119.411,939.297
4504299.559,432117.309,939.289
4504299.982,432115.208,939.273
4504300.402,432113.107,939.269
4504300.82,432110.999,939.269
4504301.226,432108.893,939.256
4504301.626,432106.785,939.246
4504302.021,432104.675,939.231
4504302.415,432102.568,939.221
4504302.804,432100.467,939.209
4504303.177,432098.361,939.206
4504303.557,432096.237,939.189
4504303.937,432094.115,939.188
4504304.301,432091.997,939.176
4504304.665,432089.88,939.164
4504305.026,432087.764,939.14
4504305.382,432085.643,939.131
4504305.721,432083.518,939.124
4504306.055,432081.395,939.108
4504306.396,432079.272,939.095
4504306.731,432077.149,939.077
4504307.06,432075.021,939.063
4504307.384,432072.895,939.053
4504307.702,432070.766,939.044
4504308.015,432068.633,939.033
4504308.324,432066.503,939.018
4504308.63,432064.373,939.001
4504308.93,432062.233,938.998
4504309.223,432060.095,938.983
4504309.512,432057.966,938.963
4504309.797,432055.827,938.949
4504310.077,432053.689,938.93
4504310.361,432051.555,938.926
4504310.642,432049.413,938.927
4504310.92,432047.274,938.917
4504311.193,432045.146,938.899
4504311.468,432043.004,938.891
4504311.737,432040.861,938.887
4504312.008,432038.724,938.872
4504312.276,432036.583,938.86
4504312.549,432034.438,938.842
4504312.817,432032.299,938.834
4504313.08,432030.156,938.817
4504313.341,432028.016,938.801
4504313.603,432025.872,938.792
4504313.863,432023.723,938.779
4504314.122,432021.581,938.772
4504314.382,432019.437,938.756
4504314.644,432017.29,938.732
4504314.899,432015.144,938.722
4504315.15,432012.998,938.712
4504315.404,432010.849,938.698
4504315.658,432008.702,938.673
4504315.914,432006.563,938.654
4504316.169,432004.417,938.641
4504316.42,432002.265,938.639
4504316.675,432000.119,938.618
4504316.927,431997.971,938.593
4504317.181,431995.82,938.566
4504317.435,431993.666,938.546
4504317.692,431991.519,938.522
4504317.952,431989.369,938.493
4504318.207,431987.222,938.467
4504318.457,431985.069,938.451
4504318.701,431982.918,938.438
4504318.946,431980.77,938.418
4504319.19,431978.616,938.403
4504319.446,431976.461,938.385
4504319.701,431974.305,938.373
4504319.951,431972.145,938.366
4504320.196,431969.995,938.348
4504320.448,431967.848,938.34
4504320.695,431965.689,938.332
4504320.936,431963.53,938.32
4504321.177,431961.377,938.306
4504321.429,431959.224,938.291
4504323.89,431937.669,938.191
4504324.131,431935.514,938.185
4504324.379,431933.36,938.174
4504324.628,431931.203,938.157
4504324.87,431929.044,938.134
4504325.112,431926.889,938.121
4504325.364,431924.739,938.102
4504325.617,431922.584,938.095
4504325.857,431920.427,938.09
4504326.099,431918.27,938.083
4504326.338,431916.117,938.071
4504326.587,431913.962,938.061
4504326.842,431911.795,938.048
4504327.099,431909.631,938.034
4504327.337,431907.477,938.024
4504327.577,431905.328,938.003
4504327.825,431903.172,937.983
4504328.076,431901.007,937.963
4504328.325,431898.848,937.94
4504328.574,431896.698,937.928
4504329.069,431892.384,937.911
4504329.069,431892.384,937.911
4504329.32,431890.227,937.899
4504329.575,431888.071,937.891
4504329.83,431885.913,937.885
4504330.077,431883.757,937.879
4504330.333,431881.601,937.879
4504330.586,431879.443,937.878
4504330.838,431877.283,937.869
4504331.09,431875.127,937.856
4504331.346,431872.968,937.851
4504331.597,431870.806,937.846
4504331.845,431868.646,937.823
4504332.09,431866.485,937.813
4504332.339,431864.325,937.8
4504332.594,431862.173,937.788
4504332.84,431860.021,937.793
4504333.078,431857.861,937.804
4504333.311,431855.703,937.799
4504333.539,431853.544,937.802
4504333.773,431851.381,937.788
4504334.006,431849.22,937.768
4504334.233,431847.062,937.75
4504334.458,431844.906,937.743
4504334.679,431842.748,937.73
4504334.894,431840.583,937.723
4504335.112,431838.424,937.703
4504335.331,431836.267,937.685
4504335.55,431834.105,937.676
4504335.768,431831.945,937.668
4504335.974,431829.788,937.659
4504336.182,431827.63,937.661
4504336.389,431825.467,937.653
4504336.6,431823.299,937.625
4504336.807,431821.139,937.589
4504337.012,431818.994,937.564
4504337.203,431816.838,937.567
4504337.394,431814.667,937.585
4504337.583,431812.496,937.575
4504337.778,431810.339,937.552
4504337.954,431808.196,937.54
4504338.119,431806.043,937.546
4504338.286,431803.878,937.55
4504338.467,431801.704,937.536
4504338.641,431799.545,937.529
4504338.806,431797.398,937.501
4504338.959,431795.232,937.499
4504339.115,431793.066,937.495
4504339.256,431790.908,937.489
4504339.39,431788.754,937.478
4504339.518,431786.592,937.465
4504339.752,431782.261,937.444
4504339.752,431782.261,937.444
4504339.85,431780.108,937.437
4504339.949,431777.954,937.435
4504340.03,431775.787,937.433
4504340.1,431773.627,937.42
4504340.164,431771.47,937.399
4504340.225,431769.314,937.379
4504340.274,431767.153,937.372
4504340.308,431764.995,937.364
4504340.337,431762.837,937.351
4504340.361,431760.68,937.335
4504340.373,431758.515,937.326
4504340.376,431756.359,937.316
4504340.365,431754.214,937.302
4504340.353,431752.056,937.29
4504340.334,431749.895,937.286
4504340.306,431747.74,937.274
4504340.264,431745.587,937.269
4504340.213,431743.43,937.258
4504312.395,431592.117,936.233
4504311.766,431589.961,936.234
4504311.135,431587.801,936.226
4504310.502,431585.643,936.211
4504309.875,431583.486,936.177
4504309.238,431581.325,936.156
4504308.587,431579.161,936.127
4504307.952,431577.001,936.114
4504307.311,431574.838,936.095
4504306.666,431572.673,936.089
4504306.022,431570.505,936.076
4504305.37,431568.336,936.062
4504304.723,431566.162,936.047
