X,Y,Z
427114.57,4504009.44,872.47
427096.12,4504006.97,872.45
427077.41,4504004.6,872.38
427058.42,4504002.5,872.25
427039.13,4504000.59,872.16
427019.58,4503998.75,872.04
426999.78,4503996.97,871.94
426979.74,4503995.23,871.85
426959.49,4503993.53,871.83
426939.07,4503991.78,871.93
426918.53,4503989.99,872.07
426897.89,4503988.2,872.34
426877.2,4503986.37,872.59
426856.41,4503984.58,872.85
426835.59,4503982.77,873.17
426814.68,4503980.92,873.45
426793.71,4503979.07,873.74
426772.67,4503977.23,874.05
426751.53,4503975.37,874.3
426730.33,4503973.5,874.6
426709.05,4503971.67,874.91
426687.72,4503969.88,875.21
426666.35,4503968.11,875.52
426645,4503966.34,875.82
426623.62,4503964.58,876.09
426602.23,4503962.89,876.38
426580.81,4503961.31,876.66
426559.37,4503959.93,876.98
426537.91,4503958.78,877.26
426516.43,4503957.86,877.56
426494.96,4503957.19,877.86
426473.49,4503956.8,878.15
426452.01,4503956.68,878.43
426430.54,4503956.82,878.73
426409.09,4503957.21,879.02
426387.66,4503957.82,879.27
426366.22,4503958.63,879.5
426344.77,4503959.69,879.72
426323.32,4503961.06,879.94
426301.83,4503962.73,880.02
426280.29,4503964.72,880.14
426258.7,4503967.09,880.22
426237.11,4503970.01,880.33
426215.54,4503973.64,880.43
426194.03,4503977.99,880.56
426172.6,4503983.02,880.68
426151.26,4503988.65,880.78
426130.05,4503994.82,880.92
426108.94,4504001.42,881.03
426087.97,4504008.23,881.19
426067.27,4504014.92,881.42
426046.69,4504020.93,881.54
426026.19,4504026.08,881.66
426005.78,4504030.29,881.76
425985.36,4504033.49,881.84
425964.88,4504036.06,881.91
425944.32,4504038.19,882.02
425923.62,4504039.93,882.08
425902.78,4504041.53,882.1
425881.85,4504043.29,882.2
425860.88,4504045.61,882.29
425839.89,4504048.66,882.38
425818.97,4504052.63,882.48
425798.31,4504057.67,882.59
425778.23,4504063.63,882.77
425758.76,4504070.42,883.03
425739.78,4504077.98,883.41
425721.16,4504086.21,883.88
425703,4504095.17,884.4
425685.36,4504104.92,885.07
425668.22,4504115.11,885.92
425651.33,4504125.48,886.69
425634.5,4504135.9,887.51
425617.61,4504146.24,888.36
425600.62,4504156.51,889.23
425583.58,4504166.81,890.1
425566.58,4504177.28,890.96
425549.52,4504187.76,891.83
425532.37,4504198.23,892.7
425515.15,4504208.69,893.57
425497.88,4504219.19,894.42
425480.57,4504229.75,895.29
425463.24,4504240.38,896.19
425445.88,4504251.08,897.07
425428.41,4504261.75,898.01
425410.89,4504272.35,899.02
425393.26,4504282.84,900.01
425375.49,4504293.17,900.99
425357.46,4504303.05,901.98
425339.07,4504312.17,902.95
425320.37,4504320.64,903.9
425301.32,4504328.24,904.84
425281.94,4504334.91,905.77
425262.26,4504340.61,906.73
425242.41,4504345.5,907.71
425222.36,4504349.51,908.55
425202.13,4504352.59,909.37
425181.71,4504355.09,910.05
425161.15,4504357.11,910.73
425140.46,4504358.84,911.31
425119.59,4504360.49,911.81
425098.58,4504362.12,912.24
425077.41,4504363.74,912.64
425056.07,4504365.39,912.9
425034.55,4504367.07,913.15
425012.88,4504368.77,913.29
424991.08,4504370.49,913.45
424969.16,4504372.27,913.53
424947.07,4504374.07,913.68
424924.81,4504375.84,913.78
424902.42,4504377.62,913.93
424879.94,4504379.59,914.02
424857.41,4504382.1,914.15
424834.86,4504385.42,914.24
424812.37,4504389.8,914.38
424790.04,4504395.34,914.52
424767.94,4504402.1,914.6
424746.14,4504410.16,914.64
424724.62,4504419.32,914.65
424703.4,4504429.54,914.59
424682.52,4504440.79,914.5
424661.8,4504452.73,914.33
424640.97,4504464.9,914.09
424619.98,4504477.25,913.8
424598.86,4504489.83,913.51
424577.59,4504502.58,913.22
424556.14,4504515.42,912.91
424534.65,4504528.28,912.61
424513.52,4504540.97,912.35
424492.95,4504553.28,912.1
424472.85,4504565.02,911.57
424452.97,4504575.77,911.46
424433.41,4504585.61,911.45
424413.89,4504594.43,911.4
424394.23,4504602.14,911.78
424374.66,4504609.1,911.86
424355.04,4504615.19,911.85
424335.35,4504620.58,911.92
424315.62,4504625.6,911.93
424295.85,4504630.56,911.91
424275.99,4504635.46,912.05
424256.24,4504640.63,911.74
424236.44,4504645.98,911.68
424216.69,4504651.75,911.71
424197.15,4504658.05,911.71
424177.88,4504665.01,911.8
424158.93,4504672.6,911.81
424140.23,4504680.71,911.87
424121.83,4504689.32,911.96
424103.61,4504698.21,911.99
424085.49,4504707.2,912.08
424067.45,4504716.2,912.17
424049.31,4504725,912.62
424031.32,4504733.9,912.64
424013.36,4504742.79,912.6
423995.39,4504751.55,912.68
423977.42,4504760.15,912.7
423959.45,4504768.62,912.76
423941.41,4504777,912.76
423923.26,4504785.26,912.82
423905.01,4504793.41,912.88
423886.62,4504801.44,912.95
423868.13,4504809.33,913.06
423849.56,4504817.04,913.2
423830.91,4504824.57,913.4
423812.26,4504832,913.66
423793.59,4504839.31,913.96
423774.94,4504846.62,914.34
423756.35,4504854.14,914.36
423737.6,4504861.5,914.7
423718.73,4504868.74,915.25
423699.93,4504876.12,915.6
423681.23,4504883.64,915.96
423662.68,4504891.32,916.28
423644.25,4504899.14,916.65
423625.96,4504907.11,916.94
423607.8,4504915.18,917.33
423589.74,4504923.31,917.69
423571.82,4504931.54,918
423554.04,4504939.9,918.38
423536.35,4504948.34,918.73
423518.86,4504956.92,918.69
423501.25,4504965.29,919.22
423483.77,4504973.73,919.6
423466.44,4504982.26,919.92
423449.23,4504990.86,920.22
423432.04,4504999.38,920.61
423414.84,4505007.78,920.82
423397.6,4505016.08,921.15
423380.41,4505024.44,921.38
423363.24,4505032.82,921.55
423346.04,4505041.19,921.7
423328.81,4505049.52,921.84
423311.56,4505057.88,921.98
423294.34,4505066.41,922.07
423277.18,4505075.18,922.16
423260.14,4505084.25,922.26
423243.21,4505093.61,922.42
423226.48,4505103.42,922.53
423210.16,4505113.9,922.22
423193.78,4505124.53,922.87
423177.81,4505135.75,922.95
423162.1,4505147.38,923.13
423146.75,4505159.51,923.27
423131.8,4505172.11,923.52
423117.26,4505185.12,923.8
423103.31,4505198.69,923.6
423089.61,4505212.41,923.93
423076.22,4505226.34,924.34
423063.15,4505240.42,924.75
423050.27,4505254.49,925.22
423037.54,4505268.48,925.76
423024.78,4505282.18,926.9
423012.3,4505295.96,927.43
422999.85,4505309.61,927.9
422987.35,4505323.13,928.32
422974.81,4505336.52,928.71
422962.19,4505349.85,929.03
422949.49,4505363.27,929.22
422936.66,4505376.74,929.42
422923.8,4505390.41,928.97
422910.52,4505403.87,929.03
422896.93,4505417.28,929.02
422883.1,4505430.66,928.95
422868.96,4505444.02,929.19
422854.79,4505457.7,928.61
422840.19,4505471.32,928.28
422825.27,4505485.09,927.9
422810.11,4505499.06,927.54
422794.67,4505513.13,927.16
422778.74,4505527.01,927.29
422762.39,4505540.69,926.9
422745.43,4505553.97,926.51
422727.96,4505566.84,926.13
422710.14,4505579.22,925.74
422692.02,4505590.96,925.36
422673.67,4505601.98,924.98
422655.27,4505612.4,924.56
422636.84,4505622.3,924.18
422618.43,4505631.71,923.8
422600.15,4505640.84,923.43
422582.06,4505649.85,923.02
422564.17,4505658.76,922.63
422546.46,4505667.53,922.23
422528.95,4505676.22,921.82
422511.47,4505684.5,921
422494.25,4505693,920.51
422477.14,4505701.44,919.9
422460.23,4505710.1,919.63
422443.22,4505718.33,919.05
422426.16,4505726.46,918.33
422409,4505734.62,917.61
422391.73,4505742.79,917.2
422374.08,4505750.4,916.4
422356.01,4505757.26,915.25
422337.79,4505763.98,914.47
422319.33,4505770.34,913.67
422300.67,4505776.37,912.91
422281.84,4505782.03,912.23
422262.94,4505787.37,911.64
422244.04,4505792.55,911.19
422225.21,4505797.54,910.85
422206.49,4505802.39,910.55
422187.99,4505807.03,910.53
422169.83,4505811.72,910.58
422152.28,4505816.68,909.87
422134.87,4505821.27,909.87
422117.83,4505825.63,909.95
422101.19,4505829.81,910.06
422084.97,4505833.83,910.28
422069.28,4505837.87,910.43
422054.23,4505842.21,910.58
422040.01,4505846.77,911.68
